Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
DREAMGIRLS 1984-1985,IMPERIAL,15471737,0,545965,0,496,496
DREAMS AND NIGHTMARES,MARTIN BECK,6033691,60,100217,21,55,76
DRIVING MISS DAISY,GOLDEN,13586627,102,131694,20,180,200
DROOD,IMPERIAL,20993477,0,665094,24,608,632
DROWNING CROW,BILTMORE,1619255,48,33799,23,54,77
EASTERN STANDARD,Golden,1197966,0,51347,20,92,112
ECLIPSED,GOLDEN,5744145,74,77911,14,121,135
ELAINE STRITCH AT LIBERTY,NEIL SIMON,5000248,59,84481,11,69,80
ELECTRA,ETHEL BARRYMORE,4629683,42,108893,15,116,131
ELF,AL HIRSCHFELD,17898004,104,168122,7,131,138
ELF-THE MUSICAL,AL HIRSCHFELD,594759,65,9190,8,0,8
ELLING,BARRYMORE,686837,35,20665,22,9,31
ENCHANTED APRIL,BELASCO,3492109,41,85013,24,143,167
END OF THE RAINBOW,BELASCO,6856068,69,99053,16,160,176
ENRON,BROADHURST,1489074,55,27431,22,16,38
EPIC PROPORTIONS,HELEN HAYES,1317751,36,36214,27,93,120
EQUUS,BROADHURST,11962267,86,140597,21,156,177
ESCAPE TO MARGARITAVILLE,MARQUIS,12444604,83,153544,29,124,153
EUGENE ONEGIN,MARTIN BECK,97542,0,4047,0,7,7
EVERYDAY RAPTURE,AMERICAN AIRLINES,2358299,45,53366,11,85,96
EVITA,MARQUIS,52678175,110,474853,26,337,363
EXECUTION OF JUSTICE,VIRGINIA,93247,0,7053,8,12,20
EXIT THE KING,BARRYMORE,6703380,69,96429,21,93,114
FACE VALUE,CORT,50114,0,2816,8,0,8
FAITH HEALER,BOOTH,7583448,76,99297,19,117,136
FALSETTOS,Golden,19931243,16,387283,53,570,623
FARINELLI AND THE KING,BELASCO,12193852,103,118919,14,111,125
FELA!,EUGENE O'NEILL,33452773,73,457401,38,491,529
FENCES,CORT,12908907,117,110215,13,88,101
FENCES 1987-1988,46TH STREET,13796739,0,533252,11,525,536
FESTEN,MUSIC BOX,1853946,53,35065,20,49,69
FIDDLER ON THE ROOF,MINSKOFF,107360337,69,1528524,70,1212,1282
FIDDLER ON THE ROOF 90-91,GERSHWIN,13629209,0,331803,18,241,259
FINDING NEVERLAND,LUNT-FONTANNE,64214541,88,723370,33,565,598
FINIAN'S RAINBOW,ST. JAMES,7888826,60,132659,22,92,114
FIRST DATE,LONGACRE,10018641,63,159061,34,174,208
FISH IN THE DARK,CORT,27652896,126,218241,33,173,206
FLAMENCO PURO,HELLINGER,1431495,0,47604,3,53,56
FLOWER DRUM SONG,VIRGINIA,11264444,64,173290,25,169,194
FLYING OVER SUNSET,VIVIAN BEAUMONT,2274957,57,40067,36,35,71
FOLLIES,MARQUIS,19566692,92,216360,38,152,190
FOLLIES 2001,BELASCO,7080718,55,128928,31,117,148
FOOL FOR LOVE,FRIEDMAN,3721858,71,52876,25,75,100
FOOL MOON,BROOKS ATKINSON,1686553,38,44657,7,49,56
FOOL MOON 1993,RICHARD RODGERS,5666265,0,202319,13,215,228
FOOL MOON 1995-1996,AMBASSADOR,2483746,19,69351,10,81,91
FOOTLOOSE,RICHARD RODGERS,37134917,47,780117,18,709,727
FOR COLORED GIRLS WHO HAVE CONSIDERED SUICIDE / WHEN THE RAINBOW IS ENUF,BOOTH,2067207,61,34577,23,51,74
FOREVER TANGO,SHUBERT,5518980,56,97257,13,187,200
Forever Tango 1997-1998,MARQUIS,13872413,40,350842,4,458,462
FORTUNE'S FOOL,MUSIC BOX,4318899,44,98735,28,127,155
FOSSE,BROADHURST,68997054,61,1121921,21,1093,1114
FOUR BABOONS ADORING,VIVIAN BEAUMONT,811304,0,45151,26,38,64
FRANKIE AND JOHNNY IN THE CLAIR DE LUNE,BROADHURST,3548264,64,57997,26,69,95
FRANKIE AND JOHNNY IN THE CLAIRE DE LUNE,BELASCO,11458493,56,195423,15,243,258
FRANKIE VALLI AND THE FOUR SEASONS ON BROADWAY,BROADWAY,2671259,128,21090,0,14,14
FREAK,CORT,5283095,34,158015,23,144,167
FREESTYLE LOVE SUPREME,BOOTH,17714172,114,152071,37,201,238
FROST/NIXON,JACOBS,9395227,65,141445,23,137,160
FROZEN,ST. JAMES,155193554,114,1359038,26,822,848
FROZEN 2004,CIRCLE,2252052,41,55085,6,128,134
FULLY COMMITTED,LYCEUM,7068657,76,93227,28,112,140
FUN HOME,CIRCLE IN THE SQUARE,41520587,98,416083,26,583,609
FUNNY GIRL,AUGUST WILSON,16927746,136,126117,30,81,111
GARDEN DISTRICT,CIRCLE,510674,0,23007,19,31,50
GARY: A SEQUEL TO TITUS ANDRONICUS,BOOTH,4503831,58,76853,45,65,110
GEM OF THE OCEAN,WALTER KERR,2577530,47,54245,15,72,87
GENTLEMEN PREFER BLONDES,LYCEUM,579727,0,19399,16,24,40
GEORGE GERSHWIN ALONE,HELEN HAYES,1055351,39,27495,16,96,112
GETTIN' THE BAND BACK TOGETHER,BELASCO,2045986,42,49295,30,40,70
GETTING AND SPENDING,HELEN HAYES,484281,35,14353,23,41,64
GETTING AWAY WITH MURDER,BROADHURST,1254380,33,37811,29,17,46
GETTING MARRIED,CIRCLE,794982,0,49295,22,70,92
GHETTO,CIRCLE,308308,0,18118,25,33,58
GHETTO KLOWN,LYCEUM,6179540,73,84440,25,95,120
GHOST,LUNT-FONTANNE,13339472,72,186851,39,136,175
GIGI,NEIL SIMON,7028015,73,96860,20,86,106
GIRL FROM THE NORTH COUNTRY,BELASCO,8750809,84,104425,31,172,203
GLENGARRY GLEN ROSS,JACOBS,22834337,97,231832,75,182,257
GLENGARRY GLEN ROSS 1984-1985,Golden,3558883,0,201282,0,296,296
GLORY DAYS,CIRCLE IN THE SQUARE,111283,39,3719,17,1,18
GOD OF CARNAGE,JACOBS,37345584,86,414191,24,452,476
"GOD SAID ""HA""",LYCEUM,286310,25,11388,11,22,33
GODSPELL,CIRCLE IN THE SQUARE,11106035,69,160892,30,264,294
GOLDA'S BALCONY,HELEN HAYES,9309657,50,180557,14,493,507
GOLDEN BOY,BELASCO,3106647,56,54318,30,53,83
GOLDEN CHILD,LONGACRE,828439,24,34346,11,69,80
GOOD PEOPLE,FRIEDMAN,5925428,73,81075,27,101,128
GORE VIDAL'S THE BEST MAN,VIRGINIA,24328421,81,298174,46,306,352
GRACE,CORT,6479055,76,85684,22,108,130
GRAND HORIZONS,HAYES,2259619,58,38572,35,45,80
GRAND HOTEL,GERSHWIN,43084265,0,1120499,31,1017,1048
GRAY'S ANATOMY,VIVIAN BEAUMONT,459423,0,25349,5,21,26
GREASE,BROOKS ATKINSON,47473854,86,551325,31,554,585
GREY GARDENS,WALTER KERR,17542980,75,234344,32,308,340
GRIND,HELLINGER,2369009,0,79934,25,71,96
GROUNDHOG DAY,AUGUST WILSON,19585335,90,217221,31,176,207
GUYS AND DOLLS,NEDERLANDER,10220561,67,152117,28,121,149
GUYS AND DOLLS 1992-1995,MARTIN BECK,65388544,0,1282292,33,1143,1176
GYPSY,ST. JAMES,31430300,71,441949,27,332,359
GYPSY 1989-1991,MARQUIS,29497916,0,765365,35,581,616
GYPSY 2003-2004,SHUBERT,37762532,68,549037,33,451,484
GYPSY PASSION,PLYMOUTH,614574,0,23042,0,55,55
HADESTOWN,WALTER KERR,104161279,154,671835,27,705,732
HAIR,AL HIRSCHFELD,54024621,77,682727,40,586,626
HAIRSPRAY,NEIL SIMON,252181270,73,3418653,31,2642,2673
HAMILTON,RICHARD RODGERS,743469418,246,3017717,26,2235,2261
HAMLET 1992,CRITERION,665378,0,28273,26,45,71
HAMLET 1995,BELASCO,5094936,0,105388,19,91,110
HAMLET 2009,BROADHURST,10010252,101,99759,25,72,97
HAND TO GOD,BOOTH,12134434,70,173143,26,311,337
HANDS ON A HARDBODY,BROOKS ATKINSON,1597428,40,41856,28,28,56
HANGMEN,GOLDEN,3385894,85,40720,21,68,89
HARRIGAN 'N HART,LONGACRE,288674,0,15114,25,4,29
HARRY CONNICK JR.,NEIL SIMON,2620770,127,20625,0,15,15
Harry Connick Jr. 1990,LUNT-FONTANNE,630158,0,19628,0,13,13
"HARRY CONNICK, JR. - A CELEBRATION OF COLE PORTER",NEDERLANDER,4434144,163,28568,5,21,26
HARRY POTTER AND THE CURSED CHILD,LYRIC,47185838,132,358999,24,226,250
"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO",LYRIC,174056581,132,1324815,34,783,817
HARVEY,STUDIO 54,6802810,72,93579,32,62,94
HAVING OUR SAY,BOOTH,5342140,4,179225,24,317,341
HAY FEVER,MUSIC BOX,1622144,0,74796,16,124,140
HEAD OVER HEELS,HUDSON,7107981,61,121187,37,188,225
HEARTBREAK HOUSE,AMERICAN AIRLINES,3177764,47,67971,30,79,109
HEDDA GABLER 1994,CRITERION,868966,0,30070,37,33,70
HEDDA GABLER 2001-2002,AMBASSADOR,3297340,40,83031,17,117,134
HEDDA GABLER 2009,AMERICAN AIRLINES,2742238,49,56067,21,74,95
HEDWIG AND THE ANGRY INCH,BELASCO,50259435,107,459696,22,507,529
HEISENBERG,FRIEDMAN,4516447,78,57555,26,67,93
HELLO DOLLY!,LUNT-FONTANNE,6459815,26,144729,11,116,127
"HELLO, DOLLY!",SHUBERT,128198738,156,811203,34,550,584
HENRY IV,VIVIAN BEAUMONT,4870242,62,77060,20,58,78
HIGH,BOOTH,449955,26,18112,29,7,36
HIGH FIDELITY,IMPERIAL,1096116,55,20022,19,13,32
HIGH SOCIETY,ST. JAMES,7317557,43,168193,27,144,171
HILLARY AND CLINTON,GOLDEN,5240468,66,79786,37,77,114
HIZZONER,LONGACRE,137324,0,8752,12,12,24
HOLIDAY,CIRCLE,741050,17,30364,17,50,67
HOLIDAY INN,STUDIO 54,10143052,80,124170,38,117,155
HOLLER IF YA HEAR ME,PALACE,1209478,34,37161,17,38,55
HOLLYWOOD ARMS,CORT,2043835,44,47006,28,76,104
HOME FOR THE HOLIDAYS,AUGUST WILSON,481817,24,20609,6,47,53
HOME FRONT,ROYALE,156133,0,9180,11,13,24
HONEYMOON IN VEGAS,NEDERLANDER,7609536,66,117945,66,93,159
HONKY TONK NIGHTS,BILTMORE,78865,0,6122,14,4,18
HONOUR,BELASCO,1132819,28,41160,27,57,84
HOT FEET,HILTON THEATRE,3766746,49,76824,12,97,109
HOUSE OF BLUE LEAVES,PLYMOUTH,5700561,0,272340,0,352,352
HOW I LEARNED TO DRIVE,FRIEDMAN,3170132,72,43670,21,60,81
HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING,AL HIRSCHFELD,59740764,94,628957,30,473,503
HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING 95/96,RICHARD RODGERS,29473664,20,629821,16,548,564
HUGH JACKMAN - BACK ON BROADWAY,BROADHURST,14634985,156,93407,18,61,79
HUGHIE,CIRCLE,4697236,55,83562,46,93,139
HURLYBURLY,ETHEL BARRYMORE,6766948,0,250730,0,343,343
I AM MY OWN WIFE,LYCEUM,8648562,49,176011,26,360,386
I HATE HAMLET,WALTER KERR,1373609,0,73124,24,88,112
I'LL EAT YOU LAST: A CHAT WITH SUE MENGERS,BOOTH,9561477,137,69337,18,71,89
I'M NOT RAPPAPORT,BOOTH,793377,37,21365,15,53,68
I'm Not Rappaport 1985-1988,BOOTH,14858286,0,571321,0,891,891
I'M STILL HERE...DAMN IT!,BOOTH,1228086,38,32876,12,51,63
IAN MCKELLAN: KNIGHTOUT,LYCEUM,192571,0,3794,0,5,5
ICEMAN COMETH,LUNT-FONTANNE,1505587,0,58553,7,55,62
IF YOU EVER LEAVE ME…I'M GOING WITH YOU,CORT,1361049,37,36852,24,53,77
IF/THEN,RICHARD RODGERS,39635141,87,453766,29,401,430
IL DIVO - A MUSICAL AFFAIR,MARQUIS,1308223,142,9241,0,6,6
IMAGINARY FRIENDS,BARRYMORE,2857950,57,50516,20,76,96
IMPRESSIONISM,SCHOENFELD,2776558,64,44558,23,56,79
IN MY LIFE,MUSIC BOX,1557164,48,32307,23,61,84
IN THE HEIGHTS,RICHARD RODGERS,105302946,79,1322889,29,1184,1213
IN THE NEXT ROOM OR THE VIBRATOR PLAY,LYCEUM,2129999,45,47282,31,60,91
IN THE SUMMER HOUSE,VIVIAN BEAUMONT,713179,0,43370,28,25,53
IN TRANSIT,CIRCLE IN THE SQUARE,6075958,61,98204,36,145,181
INDECENT,CORT,6159154,57,104281,15,128,143
INDISCRETIONS,ETHEL BARRYMORE,6989870,0,182878,28,220,248
INHERIT THE WIND,LYCEUM,6411103,68,93909,19,100,119
INHERIT THE WIND 1996,ROYALE,2883421,44,65270,42,45,87
INK,FRIEDMAN,5289107,88,60205,24,87,111
INTO THE LIGHT,NEIL SIMON,91153,0,5969,13,6,19
INTO THE WOODS,BROADHURST,16112378,65,244727,25,279,304
INTO THE WOODS 1987-1989,MARTIN BECK,29851411,0,844043,43,765,808
IRENA'S VOW,WALTER KERR,3070112,48,64931,23,105,128
IRVING BERLIN'S WHITE CHRISTMAS,MARQUIS,759048,82,9224,0,7,7
IRVING BERLIN'S WHITE CHRISTMAS 2008-2009,MARQUIS,15467881,98,154130,25,97,122
IS HE DEAD?,LYCEUM,2882050,49,58357,13,105,118
IS THIS A ROOM,LYCEUM,1016193,50,18840,11,26,37
IT AIN'T NOTHIN' BUT THE BLUES,AMBASSADOR,6752894,40,170092,5,284,289
IT SHOULDA BEEN YOU,BROOKS ATKINSON,7881052,64,122504,31,135,166
IT'S A SLIPPERY SLOPE,VIVIAN BEAUMONT,410047,23,18091,2,17,19
IT'S ONLY A PLAY,SCHOENFELD,37500966,123,293622,48,274,322
IVANOV,VIVIAN BEAUMONT,2953109,36,83270,31,51,82
JACK: A NIGHT ON THE TOWN WITH JOHN BARRYMORE,BELASCO,73498,21,3513,4,12,16
JACKIE MASON: BRAND NEW,NEIL SIMON,4756677,0,256957,6,216,222
JACKIE MASON: FRESHLY SQUEEZED,HELEN HAYES,2964688,56,53002,14,172,186
JACKIE MASON: POLITICALLY INCORRECT,Golden,5061323,0,154724,13,348,361
JACKIE MASON: MUCH ADO ABOUT EVERYTHING,Golden,5303427,47,112483,33,186,219
JACKIE MASON'S LAUGHING ROOM ONLY,BROOKS ATKINSON,1015629,49,21844,31,14,45
JACKIE: AN AMERICAN LIFE,BELASCO,2261732,33,69868,34,128,162
JAGGED LITTLE PILL,BROADHURST,24322715,114,215062,36,168,204
JAKE'S WOMEN,NEIL SIMON,7675249,0,256752,14,245,259
JAMES JOYCE'S THE DEAD,BELASCO,4376057,48,91086,24,120,144
JANE EYRE,BROOKS ATKINSON,8083185,48,168879,36,209,245
JAY JOHNSON: THE TWO AND ONLY,HELEN HAYES,587011,48,12107,10,70,80
JEKYLL & HYDE,MARQUIS,2470240,65,39385,15,30,45
JEKYLL AND HYDE,PLYMOUTH,78056883,56,1403224,45,1543,1588
JELLY'S LAST JAM,VIRGINIA,31571770,0,666946,25,569,594
JEROME KERN HOLLYWOOD,RITZ,122449,0,8015,9,13,22
JEROME ROBBINS' BROADWAY,IMPERIAL,40683240,0,910410,55,633,688
JERRY SEINFELD,BROADHURST,774652,70,11060,0,10,10
JERRY'S GIRLS,ST. JAMES,3077118,0,122060,14,141,155
JERSEY BOYS,VIRGINIA,558416092,107,5150298,38,4642,4680
JERUSALEM,MUSIC BOX,8004618,67,118970,21,141,162
JESUS CHRIST SUPERSTAR,NEIL SIMON,10882991,78,141223,24,116,140
JESUS CHRIST SUPERSTAR 2000,FORD CENTER,11284435,45,250225,28,161,189
JITNEY,FRIEDMAN,3598741,68,52176,21,62,83
JOE EGG,LONGACRE,916650,0,50929,8,93,101
JOE TURNER'S COME AND GONE,BELASCO,3022226,45,66014,31,69,100
JOE TURNER'S COME AND GONE 1988,ETHEL BARRYMORE,1278722,0,64709,11,105,116
JOHN LITHGOW: STORIES BY HEART,AMERICAN AIRLINES,3971203,73,54139,21,61,82
JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT,MINSKOFF,14280712,0,295962,17,231,248
JOURNEY'S END,BELASCO,2514849,48,53094,15,125,140
JUAN DARIEN,VIVIAN BEAUMONT,1187129,27,44121,20,49,69
JUDGMENT AT NUREMBERG,LONGACRE,2025590,35,57914,45,56,101
JULIUS CAESAR,BELASCO,8543103,83,102854,31,81,112
JUMPERS,BROOKS ATKINSON,3957158,50,78865,23,89,112
JUNK,VIVIAN BEAUMONT,6583820,77,85734,30,77,107
JUNO AND THE PAYCOCK,Golden,312358,0,11723,6,12,18
KAT AND THE KINGS,CORT,3418286,36,94995,15,157,172
KATHY GRIFFIN WANTS A TONY,BELASCO,1021880,106,9934,0,10,10
KIKI AND HERB: ALIVE ON BROADWAY,HELEN HAYES,619680,64,9520,5,27,32
KING CHARLES III,MUSIC BOX,9411612,96,98107,22,103,125
KING DAVID,NEW AMSTERDAM,677313,53,12745,3,6,9
KING HEDLEY II,VIRGINIA,2479599,36,68803,24,72,96
KING KONG,BROADWAY,36707905,79,464288,29,322,351
KING LEAR,VIVIAN BEAUMONT,9978653,72,136338,50,109,159
KINKY BOOTS,AL HIRSCHFELD,318990092,105,2980822,34,2505,2539
KIPLING,ROYALE,82583,0,4842,5,12,17
KISS ME KATE,MARTIN BECK,65051743,61,1056908,28,882,910
"KISS ME, KATE",STUDIO 54,14272788,95,149856,30,125,155
KISS OF THE SPIDER WOMAN,BROADHURST,42138889,0,863221,16,904,920
KRISTIN CHENOWETH: FOR THE GIRLS,NEDERLANDER,969894,101,9584,0,8,8
LA BETE,MUSIC BOX,4382858,61,73042,24,101,125
LA BOHÈME,BROADWAY,20773921,73,284906,12,228,240
LA CAGE AUX FOLLES - Original,PALACE,64214287,0,1948853,0,1440,1440
LA CAGE AUX FOLLES 1984-1987,PALACE,64214287,0,1948853,0,1440,1440
LA CAGE AUX FOLLES 2004-2005,MARQUIS,16381491,59,275385,34,226,260
LA CAGE AUX FOLLES 2010-2011,LONGACRE,29057813,83,347661,15,433,448
LACKAWANNA BLUES,FRIEDMAN,1033336,51,20060,18,27,45
LADY DAY AT EMERSON'S BAR & GRILL,CIRCLE IN THE SQUARE,14085440,113,124376,20,173,193
LARGELY NEW YORK,ST. JAMES,2300823,0,121825,11,144,155
LATE NITE COMIC,RITZ,97657,0,8456,15,4,19
LATIN HISTORY FOR MORONS,STUDIO 54,9504510,94,101009,20,104,124
LATINOLOGUES,HELEN HAYES,1104272,43,26013,34,93,127
LAUGH WHORE,CORT,1828501,46,39329,13,66,79
LAUGHTER ON THE 23RD FLOOR,RICHARD RODGERS,8326356,0,274611,24,320,344
LEADER OF THE PACK,AMBASSADOR,2739475,0,111515,53,120,173
LEAP OF FAITH,ST. JAMES,1343840,27,50021,25,19,44
LEGALLY BLONDE,PALACE,56338126,69,814072,30,595,625
LEGS DIAMOND,HELLINGER,5907024,0,138098,72,64,136
LEND ME A TENOR,ROYALE,16659783,18,478760,41,629,670
LENNON,BROADHURST,3596685,66,54449,42,49,91
LES LIAISONS DANGEREUSES,AMERICAN AIRLINES,9939835,79,127449,46,158,204
LES LIAISONS DANGEREUSES 1987,MUSIC BOX,3910600,0,137581,8,149,157
LES MISÉRABLES,BROADHURST,143676240,85,1675778,39,1487,1526
LES MISÉRABLES - ORIGINAL,IMPERIAL,406258901,23,8925169,11,6680,6691
LESTAT,PALACE,4630419,59,80434,32,40,72
LET IT BE,ST. JAMES,2535797,54,48350,10,46,56
LETTICE AND LOVAGE,ETHEL BARRYMORE,10945657,0,313850,15,286,301
LIFE x 3,CIRCLE,4570880,58,79272,21,104,125
LILLIAN,ETHEL BARRYMORE,279551,0,14224,5,45,50
LINDA VISTA,HAYES,1605102,56,29034,25,37,62
LITTLE ME,CRITERION,3266231,51,64069,43,99,142
LITTLE SHOP OF HORRORS,VIRGINIA,20607589,59,350389,40,372,412
LITTLE WOMEN,VIRGINIA,9793281,64,153439,55,137,192
LIVING ON LOVE,LONGACRE,811148,30,27322,21,16,37
LIZA'S AT THE PALACE,PALACE,3059851,101,31431,0,22,22
LOBBY HERO,HAYES,4795126,100,47672,30,56,86
LOMBARDI,CIRCLE IN THE SQUARE,9313391,63,147379,31,244,275
LONDON ASSURANCE,CRITERION,1493967,37,39976,14,72,86
LONG DAY'S JOURNEY,BROADHURST,1139393,0,43159,6,54,60
LONG DAY'S JOURNEY INTO NIGHT,PLYMOUTH,16487095,86,190648,33,178,211
LOOPED,LYCEUM,1262525,41,31207,27,33,60
LOOT,MUSIC BOX,1075400,0,52590,5,96,101
LORD OF THE DANCE: DANGEROUS GAMES,LYRIC,3616869,61,58276,4,67,71
LOSING LOUIE,BILTMORE,1548011,50,30824,24,53,77
LOST IN YONKERS,RICHARD RODGERS,23275602,0,772566,11,780,791
LOVE / LIFE,VIVIAN BEAUMONT,280480,41,6914,0,8,8
LOVE LETTERS,EDISON,4762317,36,85227,6,191,197
LOVE THY NEIGHBOR,BOOTH,3856374,36,106652,5,234,239
LOVE! VALOUR! COMPASSION!,WALTER KERR,5849633,0,179722,28,248,276
LOVEMUSIK,BILTMORE,2494723,60,41203,24,60,84
LOVES OF ANATOL,CIRCLE,405843,0,23388,15,46,61
LUCIFER'S CHILD,MUSIC BOX,259185,0,11635,6,28,34
LUCKY GUY,BROADHURST,22992145,141,163710,33,104,137
LYSISTRATA JONES,WALTER KERR,1391172,36,39217,34,30,64
M. BUTTERFLY,CORT,5248147,88,60311,19,61,80
MA RAINEY'S BLACK BOTTOM,ROYALE,2427214,52,45737,14,68,82
MA RAINEY'S BLACK BOTTOM 1984-1985,CORT,2619607,0,130019,9,276,285
MACBETH,BARRYMORE,22829932,99,219861,61,205,266
MACBETH 1988,HELLINGER,2799049,0,90957,8,77,85
MACBETH 2000,MUSIC BOX,489308,45,10926,8,13,21
MACBETH 2008,LYCEUM,4105572,80,51048,11,52,63
MACHINAL,AMERICAN AIRLINES,2123256,51,40813,28,52,80
MAGIC/BIRD,LONGACRE,1136102,33,34446,24,37,61
MAIL,MUSIC BOX,383246,0,21340,19,37,56
MAJOR BARBARA,AMERICAN AIRLINES,3217456,49,65138,32,74,106
MAMMA MIA!,CADILLAC WINTER G,624391693,82,7566124,14,5758,5772
MAN AND BOY,AMERICAN AIRLINES,3095607,57,53701,35,57,92
MAN OF LA MANCHA,AL HIRSCHFELD,22483426,66,343317,16,304,320
MAN OF LA MANCHA 1992,MARQUIS,8018715,0,167938,28,108,136
MANDY PATINKIN,LYCEUM,563627,46,12229,0,16,16
MANDY PATINKIN IN CONCERT: MAMALOSHEN,BELASCO,726465,42,17344,0,28,28
MANDY PATINKIN: DRESS CASUAL,HELEN HAYES,747986,0,24735,0,62,62
MANILOW ON BROADWAY,ST. JAMES,4160716,121,35432,2,25,27
MARC SALEM'S MIND GAMES,LYCEUM,287897,43,6866,1,30,31
MARIE CHRISTINE,VIVIAN BEAUMONT,2982095,43,69819,39,42,81
MARK TWAIN TONIGHT,BROOKS ATKINSON,617468,52,12184,3,15,18
MARLENE,CORT,681313,32,21342,15,25,40
MARRIAGE OF FIGARO,CIRCLE,664010,0,40852,22,77,99
